price,location,area,bedrooms,bathrooms,purpose,property_type
81500000.0,"DHA Phase 6 - Block F, DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,6.0,7.0,For Sale,House
15000000.0,"Park View City, Lahore, Punjab",5.0,4.0,5.0,For Sale,House
24000000.0,"Park View City - Rose Block, Park View City, Lahore, Punjab",5.0,4.0,4.0,For Sale,House
75000000.0,"DHA Phase 7 - Block S, DHA Phase 7, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
69500000.0,"DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,6.0,7.0,For Sale,House
49500000.0,"Valencia Housing Society, Lahore, Punjab",10.0,5.0,6.0,For Sale,House
140000000.0,"DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,6.0,6.0,For Sale,House
165000000.0,"DHA Phase 2 - Block R, DHA Phase 2, DHA Defence, Lahore, Punjab",40.0,6.0,6.0,For Sale,House
20000000.0,"Eden Boulevard Housing Scheme, College Road, Lahore, Punjab",5.0,3.0,4.0,For Sale,House
21000000.0,"Eastern Housing Lahore, Wagha Town, Lahore, Punjab",5.0,4.0,5.0,For Sale,House
27900000.0,"DHA Phase 4 - Block JJ, DHA Phase 4, DHA Defence, Lahore, Punjab",5.0,3.0,3.0,For Sale,House
62500000.0,"DHA Phase 6 - Block A, DHA Phase 6, DHA Defence, Lahore, Punjab",10.0,4.0,5.0,For Sale,House
56000000.0,"Tariq Gardens, Lahore, Punjab",10.0,5.0,6.0,For Sale,House
15000000.0,"Ferozepur Road, Lahore, Punjab",4.0,3.0,3.0,For Sale,House
22500000.0,"Allama Iqbal Town, Lahore, Punjab",3.5,4.0,4.0,For Sale,House
110000000.0,"DHA Phase 5, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
33500000.0,"Allama Iqbal Town - Ravi Block, Allama Iqbal Town, Lahore, Punjab",10.0,4.0,4.0,For Sale,House
54000000.0,"DHA Phase 5 - Block D, DHA Phase 5, DHA Defence, Lahore, Punjab",10.0,4.0,5.0,For Sale,House
51100000.0,"DHA Phase 5, DHA Defence, Lahore, Punjab",10.0,4.0,5.0,For Sale,House
16500000.0,"Allama Iqbal Town, Lahore, Punjab",3.0,4.0,3.0,For Sale,House
105000000.0,"DHA Phase 7, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
310000000.0,"DHA Phase 7, DHA Defence, Lahore, Punjab",40.0,5.0,6.0,For Sale,House
105000000.0,"DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
21300000.0,"DHA 9 Town, DHA Defence, Lahore, Punjab",5.0,3.0,4.0,For Sale,House
31500000.0,"Park View City, Lahore, Punjab",10.0,5.0,6.0,For Sale,House
190000000.0,"DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
16000000.0,"Park View City, Lahore, Punjab",5.0,4.0,4.0,For Sale,House
13500000.0,"Al-Ahmad Garden Housing Scheme, GT Road, Lahore, Punjab",3.5,3.0,3.0,For Sale,House
16500000.0,"Park View City, Lahore, Punjab",5.0,4.0,5.0,For Sale,House
78500000.0,"DHA Phase 7, DHA Defence, Lahore, Punjab",20.0,5.0,5.0,For Sale,House
21900000.0,"DHA 9 Town, DHA Defence, Lahore, Punjab",5.0,3.0,4.0,For Sale,House
45000000.0,"DHA 9 Town - Block A, DHA 9 Town, DHA Defence, Lahore, Punjab",10.0,4.0,4.0,For Sale,House
24000000.0,"DHA 9 Town - Block A, DHA 9 Town, DHA Defence, Lahore, Punjab",5.0,4.0,4.0,For Sale,House
19200000.0,"DHA 9 Town, DHA Defence, Lahore, Punjab",5.0,3.0,5.0,For Sale,House
28500000.0,"DHA 9 Town, DHA Defence, Lahore, Punjab",8.0,3.0,5.0,For Sale,House
23000000.0,"Dream Gardens Phase 1, Dream Gardens, Defence Road, Lahore, Punjab",4.5,4.0,4.0,For Sale,House
24000000.0,"Dream Gardens Phase 2, Dream Gardens, Defence Road, Lahore, Punjab",5.0,4.0,4.0,For Sale,House
26000000.0,"Dream Gardens - Block G, Dream Gardens, Defence Road, Lahore, Punjab",5.0,4.0,4.0,For Sale,House
70000000.0,"DHA Phase 7 - Block S, DHA Phase 7, DHA Defence, Lahore, Punjab",20.0,6.0,7.0,For Sale,House
81500000.0,"DHA Phase 6 - Block L, DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
13700000.000000002,"Allama Iqbal Town, Lahore, Punjab",3.2,3.0,4.0,For Sale,House
140000000.0,"DHA Phase 6 - Block N, DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
111000000.0,"DHA Phase 6 - Block E, DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
